順位,ポケモン,調整1位,性格1位,性格2位,性格3位,特性1位,特性2位,特性3位,技1位,技2位,技3位,技4位,技5位,道具1位,道具2位,道具3位,道具4位,道具5位
"20位"," ブラッキー","32-0-32-0-2-0(43.00%)","ずぶといB↑A↓ (58.20%)","わんぱくB↑C↓ (21.70%)","おだやかD↑A↓ (8.00%)","せいしんりょく (71.50%)","シンクロ (28.30%)","-","イカサマ (97.80%)","まもる (91.30%)","ねがいごと (90.30%)","あくび (82.10%)","どくどく (17.00%)","たべのこし (93.50%)","オボンのみ (3.20%)","ひかりのこな (0.80%)","ラムのみ (0.60%)","メンタルハーブ (0.40%)"
"21位"," ルカリオ","2-32-0-0-0-32(57.70%)","ようきS↑C↓ (67.80%)","いじっぱりA↑C↓ (13.00%)","おくびょうS↑A↓ (12.80%)","せいしんりょく (82.60%)","せいぎのこころ (10.60%)","ふくつのこころ (6.50%)","インファイト (81.10%)","バレットパンチ (69.60%)","つるぎのまい (69.30%)","じしん (38.20%)","コメットパンチ (27.70%)","ルカリオナイト (94.50%)","きあいのタスキ (2.90%)","こだわりスカーフ (0.80%)","くろおび (0.20%)","ラムのみ (0.20%)"
"22位"," メガニウム","0-0-0-32-0-2(43.70%)","ひかえめC↑A↓ (86.90%)","ずぶといB↑A↓ (5.00%)","おだやかD↑A↓ (4.00%)","しんりょく (81.50%)","リーフガード (18.50%)","-","ソーラービーム (98.00%)","ウェザーボール (91.80%)","マジカルシャイン (87.00%)","こうごうせい (82.50%)","だいちのちから (21.30%)","メガニウムナイト (99.00%)","たべのこし (0.10%)","オボンのみ (0.10%)","カイリュナイト (0.00%)","せんせいのツメ (0.00%)"
"23位"," ゲッコウガ","2-0-0-32-0-32(83.60%)","おくびょうS↑A↓ (53.20%)","ひかえめC↑A↓ (25.10%)","むじゃきS↑D↓ (9.50%)","へんげんじざい (83.60%)","げきりゅう (16.20%)","-","れいとうビーム (84.50%)","あくのはどう (72.00%)","ヘドロウェーブ (61.00%)","なみのり (45.50%)","みずしゅりけん (43.70%)","ゲッコウガナイト (46.00%)","きあいのタスキ (36.70%)","こだわりスカーフ (12.30%)","しんぴのしずく (0.80%)","おうじゃのしるし (0.80%)"
"24位"," ギャラドス","2-32-0-0-0-32(96.80%)","ようきS↑C↓ (25.10%)","いじっぱりA↑C↓ (21.20%)","わんぱくB↑C↓ (4.60%)","いかく (96.80%)","じしんかじょう (3.20%)","-","たきのぼり (92.40%)","りゅうのまい (89.60%)","じしん (75.30%)","こおりのキバ (46.00%)","ちょうはつ (23.00%)","ギャラドスナイト (73.60%)","ラムのみ (9.30%)","オボンのみ (6.60%)","たべのこし (4.50%)","しんぴのしずく (1.20%)"
"25位"," ガルーラ","27-32-5-0-1-1(20.70%)","いじっぱりA↑C↓ (20.70%)","ようきS↑C↓ (10.80%)","やんちゃA↑D↓ (8.00%)","きもったま (90.00%)","せいしんりょく (8.10%)","はやおき (1.70%)","ねこだまし (84.60%)","ふいうち (73.50%)","じしん (73.30%)","れいとうパンチ (67.00%)","すてみタックル (43.20%)","ガルーラナイト (98.50%)","シルクのスカーフ (0.40%)","ミミロップナイト (0.10%)","オボンのみ (0.10%)","たべのこし (0.10%)"
"26位"," フシギバナ","32-0-2-0-32-0(10.60%)","おだやかD↑A↓ (47.70%)","ひかえめC↑A↓ (27.30%)","ずぶといB↑A↓ (21.60%)","ようりょくそ (61.40%)","しんりょく (38.50%)","-","だいちのちから (85.50%)","こうごうせい (77.50%)","ギガドレイン (63.50%)","ヘドロばくだん (53.50%)","やどりぎのタネ (45.00%)","フシギバナイト (93.50%)","たべのこし (2.00%)","オボンのみ (1.20%)","きせきのタネ (0.60%)","きあいのタスキ (0.50%)"
"27位"," フラエッテ（えいえんのはな）","32-0-29-5-0-0(19.20%)","ひかえめC↑A↓ (66.80%)","おくびょうS↑A↓ (25.30%)","ずぶといB↑A↓ (7.00%)","フラワーベール (99.30%)","きょうせい (0.60%)","-","めいそう (92.10%)","ドレインキッス (84.60%)","ムーンフォース (78.60%)","こうごうせい (49.90%)","はめつのひかり (28.70%)","フラエッテナイト (98.50%)","こだわりスカーフ (0.80%)","ようせいのハネ (0.10%)","きあいのタスキ (0.10%)","オボンのみ (0.00%)"
"28位"," オオニューラ","2-32-0-0-0-32(50.50%)","いじっぱりA↑C↓ (57.20%)","ようきS↑C↓ (38.40%)","やんちゃA↑D↓ (1.10%)","かるわざ (70.00%)","どくしゅ (29.50%)","プレッシャー (0.40%)","インファイト (98.40%)","フェイタルクロー (97.00%)","ねこだまし (53.70%)","とんぼがえり (30.70%)","じごくづき (24.70%)","しろいハーブ (40.90%)","きあいのタスキ (34.50%)","こだわりスカーフ (6.90%)","オボンのみ (6.90%)","おうじゃのしるし (2.20%)"
"29位"," ヒートロトム","2-0-0-32-0-32(23.50%)","ひかえめC↑A↓ (46.50%)","おくびょうS↑A↓ (27.60%)","ずぶといB↑A↓ (16.50%)","ふゆう (100.00%)","-","-","オーバーヒート (98.50%)","ボルトチェンジ (90.90%)","おにび (63.50%)","10まんボルト (54.00%)","トリック (33.50%)","こだわりスカーフ (40.00%)","オボンのみ (31.80%)","たべのこし (9.10%)","しろいハーブ (6.80%)","カゴのみ (2.70%)"
